description;volume;page;plate;polygon;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
Herauskommen aus dem Palast;7;042;;59,1335,77,1368;Chassinat/7_042.jpg;90;114;699.95;33.75;9.59;11.25
Den Gott preisen;7;092;;80,1335,98,1368;Chassinat/7_092.jpg;90;114;699.95;60;9.59;11.25
Hetes-Symbol darbringen;7;135;;101,1336,119,1368;Chassinat/7_135.jpg;90;114;700.24;86.25;9.3;11.25
Den Strick spannen;7;044;;59,1291,77,1333;Chassinat/7_044.jpg;90;114;677;33.75;12.2;11.25
Men-Krug der Hathor darbringen;7;093;;80,1305,98,1333;Chassinat/7_093.jpg;90;114;681.06;60;8.14;11.25
Manchet-Troddel darbringen;7;136;;101,1305,119,1333;Chassinat/7_136.jpg;90;114;681.06;86.25;8.14;11.25
Kranz der Rechtfertigung darbringen;7;094;;79,1270,98,1302;Chassinat/7_094.jpg;90;114;661.89;59.38;9.3;11.88
Den Gott sehen;7;137;;101,1270,119,1302;Chassinat/7_137.jpg;90;114;661.89;86.25;9.3;11.25
Die Erde aufhacken;7;045;;59,1237,77,1267;Chassinat/7_045.jpg;90;114;642.13;33.75;8.72;11.25
Udjat-Auge aus Gold darreichen;7;095;;80,1236,98,1268;Chassinat/7_095.jpg;90;114;642.13;60;9.3;11.25
Maat darbringen;7;138;;101,1237,119,1267;Chassinat/7_138.jpg;90;114;642.13;86.25;8.72;11.25
Den Fundamentgraben füllen;7;046;;59,1202,77,1234;Chassinat/7_046.jpg;90;114;622.37;33.75;9.3;11.25
Ober- und Unterägypten darbringen;7;095;;80,1202,98,1234;Chassinat/7_095.jpg;90;114;622.37;60;9.3;11.25
Heh mit Leben, Dauer und Kraft darbringen;7;138;;100,1202,119,1234;Chassinat/7_138.jpg;90;114;622.37;85.63;9.3;11.88
17 Ziegel darbringen;7;047;;59,1182,77,1200;Chassinat/7_047.jpg;90;114;606.68;33.75;5.23;11.25
Kranz aus Elektron darbringen;7;096;;80,1181,98,1200;Chassinat/7_096.jpg;90;114;606.39;60;5.52;11.25
Udjat-Auge darbringen;7;139;;101,1182,119,1200;Chassinat/7_139.jpg;90;114;606.68;86.25;5.23;11.25
Ziegel streichen;7;048;;59,1158,77,1179;Chassinat/7_048.jpg;90;114;593.6;33.75;6.1;11.25
???;7;097;;80,1158,98,1179;Chassinat/7_097.jpg;90;114;593.6;60;6.1;11.25
Amulett des Käfers Der-das-Werden-liebt umbinden;7;140;;101,1158,119,1179;Chassinat/7_140.jpg;90;114;593.6;86.25;6.1;11.25
Den Tempel bauen;7;049;;59,1135,77,1155;Chassinat/7_049.jpg;90;114;579.94;33.75;5.81;11.25
Den Himmel stützen;7;098;;80,1135,98,1155;Chassinat/7_098.jpg;90;114;579.94;60;5.81;11.25
Wein darbringen;7;141;;101,1135,119,1155;Chassinat/7_141.jpg;90;114;579.94;86.25;5.81;11.25
Natron streuen;7;050;;59,1102,77,1132;Chassinat/7_050.jpg;90;114;563.67;33.75;8.72;11.25
Stoff darreichen;7;099;;80,1102,98,1132;Chassinat/7_099.jpg;90;114;563.67;60;8.72;11.25
Grillklein darbringen;7;142;;101,1102,119,1132;Chassinat/7_142.jpg;90;114;563.67;86.25;8.72;11.25
Reinigen mit Weihrauch;7;051;;59,1079,77,1099;Chassinat/7_051.jpg;90;114;547.4;33.75;5.81;11.25
Feindfiguren des Apophis vernichten;7;100;;80,1079,98,1099;Chassinat/7_100.jpg;90;114;547.4;60;5.81;11.25
Pfeil und Bogen darbringen;7;143;;101,1078,119,1099;Chassinat/7_143.jpg;90;114;547.11;86.25;6.1;11.25
Reinigen mit vier Nemeset-Krügen mit Wasser;7;052;;59,1056,77,1076;Chassinat/7_052.jpg;90;114;534.03;33.75;5.81;11.25
Papyrus und Gänse herbeibringen;7;101;;80,1056,98,1076;Chassinat/7_101.jpg;90;114;534.03;60;5.81;11.25
Krone aufsetzen;7;144;;101,1056,119,1076;Chassinat/7_144.jpg;90;114;534.03;86.25;5.81;11.25
Reinigen mit vier Descheret-Krügen mit Wasser;7;053;;59,1035,77,1053;Chassinat/7_053.jpg;90;114;521.25;33.75;5.23;11.25
Beste ausgelöste Fleischstücke herbeibringen;7;102;;80,1035,98,1053;Chassinat/7_102.jpg;90;114;521.25;60;5.23;11.25
Zwei Gänse und zwei Opferbrote darreichen;7;145;;101,1035,119,1053;Chassinat/7_145.jpg;90;114;521.25;86.25;5.23;11.25
Reinigen mit fünf Körnern Natrons aus Elkab;7;054;;59,1002,77,1032;Chassinat/7_054.jpg;90;114;505.56;33.75;8.72;11.25
Feigen darbringen;7;103;;80,1001,98,1032;Chassinat/7_103.jpg;90;114;505.27;60;9.01;11.25
Amulette darreichen;7;146;;101,1002,119,1032;Chassinat/7_146.jpg;90;114;505.56;86.25;8.72;11.25
???;7;055;;58,981,77,999;Chassinat/7_055.jpg;90;114;489.87;33.13;5.23;11.88
Die beiden Sistren spielen;7;104;;80,980,98,999;Chassinat/7_104.jpg;90;114;489.58;60;5.52;11.25
Halskragen umbinden;7;147;;101,981,119,999;Chassinat/7_147.jpg;90;114;489.87;86.25;5.23;11.25
Das Haus seinem Herrn übergeben;7;056;;59,959,77,978;Chassinat/7_056.jpg;90;114;477.37;33.75;5.52;11.25
Schaut-Kuchen darbringen;7;105;;80,959,98,978;Chassinat/7_105.jpg;90;114;477.37;60;5.52;11.25
Schlachtrind schlachten;7;148;;101,959,119,978;Chassinat/7_148.jpg;90;114;477.37;86.25;5.52;11.25
Maat darbringen;7;057;;59,923,77,956;Chassinat/7_057.jpg;90;114;460.52;33.75;9.59;11.25
Myrrhe darbringen;7;105;;80,926,98,956;Chassinat/7_105.jpg;90;114;461.39;60;8.72;11.25
Nilpferd töten;7;149;;101,928,119,956;Chassinat/7_149.jpg;90;114;461.97;86.25;8.14;11.25
Ausgelöste Fleischstücke darbringen;7;107;;86,894,98,925;Chassinat/7_107.jpg;90;114;443.08;63.75;9.01;7.5
Feind töten;7;149;;101,894,119,925;Chassinat/7_149.jpg;90;114;443.08;86.25;9.01;11.25
Eine Wasserspende darbringen;7;058;;59,872,77,894;Chassinat/7_058.jpg;90;114;427.68;33.75;6.39;11.25
Weihräuchern;7;108;;80,872,98,891;Chassinat/7_108.jpg;90;114;426.81;60;5.52;11.25
Alle guten Speisen darbringen;7;150;;101,872,119,891;Chassinat/7_150.jpg;90;114;426.81;86.25;5.52;11.25
Myrrhe, die auf der Glut ist, darbringen;7;059;;59,839,77,869;Chassinat/7_059.jpg;90;114;410.83;33.75;8.72;11.25
Doppelfeder darbringen;7;109;;80,839,98,869;Chassinat/7_109.jpg;90;114;410.83;60;8.72;11.25
Krokodil töten;7;151;;101,839,119,869;Chassinat/7_151.jpg;90;114;410.83;86.25;8.72;11.25
Das Hetep-di-nisut-Opfer vollziehen;7;060;;59,818,77,836;Chassinat/7_060.jpg;90;114;395.14;33.75;5.23;11.25
Oryx-Antilope töten;7;110;;80,818,98,836;Chassinat/7_110.jpg;90;114;395.14;60;5.23;11.25
Peseschkef darbringen;7;152;;101,818,119,836;Chassinat/7_152.jpg;90;114;395.14;86.25;5.23;11.25
Ausgewählte Fleischstücke auf die Flamme legen;7;061;;59,787,77,815;Chassinat/7_061.jpg;90;114;380.03;33.75;8.14;11.25
Anch-Djed-Was darreichen;7;111;;80,787,98,815;Chassinat/7_111.jpg;90;114;380.03;60;8.14;11.25
Kleiderkästen herbeiziehen;7;153;;101,787,119,815;Chassinat/7_153.jpg;90;114;380.03;86.25;8.14;11.25
Einen Stabstrauß darbringen;7;062;;59,755,77,784;Chassinat/7_062.jpg;90;114;361.72;33.75;8.43;11.25
Apophis töten;7;112;;80,755,98,784;Chassinat/7_112.jpg;90;114;361.72;60;8.43;11.25
Den Gott preisen;7;154;;101,755,119,784;Chassinat/7_154.jpg;90;114;361.72;86.25;8.43;11.25
Ein Amulett umbinden;7;064;;59,724,77,752;Chassinat/7_064.jpg;90;114;343.42;33.75;8.14;11.25
Maat darbringen;7;113;;80,724,98,752;Chassinat/7_113.jpg;90;114;343.42;60;8.14;11.25
Die vier Kälber treiben;7;155;;101,724,119,752;Chassinat/7_155.jpg;90;114;343.42;86.25;8.14;11.25
Milch darbringen;7;065;;59,693,77,721;Chassinat/7_065.jpg;90;114;325.4;33.75;8.14;11.25
Bestandteile des Totenopfers rezitieren;7;114;;80,693,98,721;Chassinat/7_114.jpg;90;114;325.4;60;8.14;11.25
Apophis töten;7;156;;101,693,119,721;Chassinat/7_156.jpg;90;114;325.4;86.25;8.14;11.25
Ein großes Speiseopfer darbringen;7;066;;59,663,77,690;Chassinat/7_066.jpg;90;114;307.68;33.75;7.85;11.25
Lattich darreichen;7;115;;79,663,98,690;Chassinat/7_115.jpg;90;114;307.68;59.38;7.85;11.88
Stoff darbringen;7;157;;101,663,119,690;Chassinat/7_157.jpg;90;114;307.68;86.25;7.85;11.25
Ein Henket-Opfer darbringen;7;067;;59,622,77,660;Chassinat/7_067.jpg;90;114;287.05;33.75;11.04;11.25
Schedeh-Wein darreichen;7;117;;80,622,98,660;Chassinat/7_117.jpg;90;114;287.05;60;11.04;11.25
Schildkröte töten;7;159;;101,622,119,660;Chassinat/7_159.jpg;90;114;287.05;86.25;11.04;11.25
Das Gottesopfer reinigen;7;068;;59,580,77,619;Chassinat/7_068.jpg;90;114;262.93;33.75;11.33;11.25
Räuchern und Libieren für die Nekropolengötter von Behedet;7;118;;80,580,98,619;Chassinat/7_118.jpg;90;114;262.93;60;11.33;11.25
Großes Speiseopfer darbringen;7;160;;101,580,119,619;Chassinat/7_160.jpg;90;114;262.93;86.25;11.33;11.25
Ein Weißbrot weihen;7;070;;59,559,77,577;Chassinat/7_070.jpg;90;114;244.62;33.75;5.23;11.25
Wasser libieren;7;119;;80,559,98,577;Chassinat/7_119.jpg;90;114;244.62;60;5.23;11.25
Die Bewohner Asiens töten;7;161;;101,559,119,577;Chassinat/7_161.jpg;90;114;244.62;86.25;5.23;11.25
Das Feld darreichen;7;071;;59,538,77,556;Chassinat/7_071.jpg;90;114;232.42;33.75;5.23;11.25
Halskragen umbinden;7;120;;80,538,98,556;Chassinat/7_120.jpg;90;114;232.42;60;5.23;11.25
Lotusblüte darbringen;7;162;;101,538,119,556;Chassinat/7_162.jpg;90;114;232.42;86.25;5.23;11.25
Einen Kuchen darreichen;7;072;;59,507,77,535;Chassinat/7_072.jpg;90;114;217.31;33.75;8.14;11.25
Die beiden Herrinnen darbringen;7;121;;80,507,98,535;Chassinat/7_121.jpg;90;114;217.31;60;8.14;11.25
Udjat-Auge darbringen;7;163;;101,507,120,535;Chassinat/7_0163.jpg;90;114;217.31;86.88;8.14;11.88
Ausgewählte Fleischstücke weihen;7;073;;59,488,77,504;Chassinat/7_073.jpg;90;114;202.78;33.75;4.65;11.25
Traube-in-Saft-Getränk darbringen;7;122;;80,488,98,504;Chassinat/7_122.jpg;90;114;202.78;60;4.65;11.25
Wild der Wüste herbeiführen;7;164;;101,488,119,504;Chassinat/7_164.jpg;90;114;202.78;86.25;4.65;11.25
Gaben auf den Altar legen;7;074;;59,467,77,485;Chassinat/7_074.jpg;90;114;191.16;33.75;5.23;11.25
Milch darbringen;7;123;;80,467,98,485;Chassinat/7_123.jpg;90;114;191.16;60;5.23;11.25
Die Rote Krone darbringen;7;165;;101,467,119,485;Chassinat/7_165.jpg;90;114;191.16;86.25;5.23;11.25
Wein darbringen;7;075;;59,438,77,464;Chassinat/7_075.jpg;90;114;176.63;33.75;7.55;11.25
Eine Schar Gänse darbringen;7;124;;80,438,98,464;Chassinat/7_124.jpg;90;114;176.63;60;7.55;11.25
Libation darbringen;7;165;;100,438,119,464;Chassinat/7_165.jpg;90;114;176.63;85.63;7.55;11.88
Salbe darreichen;7;076;;59,408,77,435;Chassinat/7_076.jpg;90;114;159.48;33.75;7.85;11.25
Doppelkrone darbringen;7;125;;80,407,98,435;Chassinat/7_125.jpg;90;114;159.19;60;8.14;11.25
Wein darbringen;7;166;;101,408,119,435;Chassinat/7_166.jpg;90;114;159.48;86.25;7.85;11.25
Den Sitz des Horus reinigen;7;077;;59,387,77,405;Chassinat/7_077.jpg;90;114;144.66;33.75;5.23;11.25
Schreibpalette und Wassernapf darbringen;7;126;;80,387,98,405;Chassinat/7_126.jpg;90;114;144.66;60;5.23;11.25
Nehes (Seth) erstechen;7;167;;101,387,119,405;Chassinat/7_167.jpg;90;114;144.66;86.25;5.23;11.25
Lotus darbringen;7;078;;59,366,77,384;Chassinat/7_078.jpg;90;114;132.46;33.75;5.23;11.25
Reine Fleischstücke darreichen;7;127;;80,366,98,384;Chassinat/7_127.jpg;90;114;132.46;60;5.23;11.25
Auf das Nilpferd schießen;7;168;;101,366,119,384;Chassinat/7_168.jpg;90;114;132.46;86.25;5.23;11.25
Opfer herbeibringen;7;079;;59,335,77,363;Chassinat/7_079.jpg;90;114;117.35;33.75;8.14;11.25
Heh darreichen;7;128;;80,335,98,363;Chassinat/7_128.jpg;90;114;117.35;60;8.14;11.25
Feigen und Honig überreichen, Wein darbringen;7;169;;101,335,119,363;Chassinat/7_169.jpg;90;114;117.35;86.25;8.14;11.25
Zweige von Ima- und Ischedbäumen darbringen;7;080;;59,304,77,332;Chassinat/7_080.jpg;90;114;99.33;33.75;8.14;11.25
Den Himmel stützen;7;129;;80,304,98,332;Chassinat/7_129.jpg;90;114;99.33;60;8.14;11.25
Die beiden Uräusschlangen darbringen;7;170;;101,304,119,332;Chassinat/7_170.jpg;90;114;99.33;86.25;8.14;11.25
Den Strauß der Sechet darbringen;7;081;;59,282,77,301;Chassinat/7_081.jpg;90;114;83.93;33.75;5.52;11.25
Myrrhe räuchern;7;130;;80,282,98,301;Chassinat/7_130.jpg;90;114;83.93;60;5.52;11.25
Weihräuchern;7;171;;101,282,119,301;Chassinat/7_171.jpg;90;114;83.93;86.25;5.52;11.25
Junge Pflanzen darbringen;7;082;;59,253,77,279;Chassinat/7_082.jpg;90;114;69.11;33.75;7.55;11.25
Abebet-Harpune darreichen;7;131;;80,253,98,279;Chassinat/7_131.jpg;90;114;69.11;60;7.55;11.25
Den Falken-des-Goldes herbeibringen;7;172;;101,252,120,279;Chassinat/7_172.jpg;90;114;68.82;86.88;7.85;11.88
Gerste und Emmer darbringen;7;083;;59,232,77,250;Chassinat/7_083.jpg;90;114;54.59;33.75;5.23;11.25
Wenescheb hochreichen;7;132;;79,231,98,250;Chassinat/7_132.jpg;90;114;54.3;59.38;5.52;11.88
Papyrus- und Hen-Pflanzen darbringen;7;173;;101,232,119,250;Chassinat/7_173.jpg;90;114;54.59;86.25;5.23;11.25
Das Siegesschwert überreichen;7;084;;58,200,77,230;Chassinat/7_084.jpg;90;114;39.48;33.13;8.72;11.88
Sistrum erklingen lassen;7;133;;79,200,98,230;Chassinat/7_133.jpg;90;114;39.48;59.38;8.72;11.88
Die beiden Sistren spielen;7;174;;100,199,119,230;Chassinat/7_174.jpg;90;114;39.19;85.63;9.01;11.88
Das Feld darreichen;7;085;;58,167,77,197;Chassinat/7_085.jpg;90;114;20.3;33.13;8.72;11.88
Heh darbringen;7;134;;79,167,98,197;Chassinat/7_134.jpg;90;114;20.3;59.38;8.72;11.88
