description;volume;page;plate;polygon;link;angleOfView;coord-x;coord-y;height-percent;extent-width;extent-height-percent
Manedjet-Barke herbeibringen;7;174;;100,167,119,197;Chassinat/7_174.jpg;90;114;20.3;85.63;8.72;11.88
Gott anbeten;7;087;;122,104,159,164;Chassinat/7_087.jpg;180;134.97;11;58.97;19.89;38.46
Wein und Milch darreichen;7;088;;162,104,199,164;Chassinat/7_088.jpg;180;177.98;11;58.97;19.89;38.46
Maat darreichen;7;090;;202,104,239,164;Chassinat/7_090.jpg;180;220.99;11;58.97;19.89;38.46
Maat darreichen;7;254;;242,104,279,164;Chassinat/7_254.jpg;180;264.01;11;58.97;19.89;38.46
Weihräuchern;7;252;;282,104,319,164;Chassinat/7_252.jpg;180;307.02;11;58.97;19.89;38.46
Feld darreichen;7;251;;322,104,359,164;Chassinat/7_251.jpg;180;350.03;11;58.97;19.89;38.46
;7;330;;362,167,380,197;Chassinat/7_330.jpg;270;371;20.3;85.9;8.72;11.54
Heh darbringen;7;295;;383,166,401,197;Chassinat/7_295.jpg;270;371;20.01;58.97;9.01;11.54
Feld darreichen;7;246;;404,167,422,197;Chassinat/7_246.jpg;270;371;20.3;32.05;8.72;11.54
Die beiden Sistren spielen;7;329;;362,200,380,229;Chassinat/7_329.jpg;270;371;39.19;85.9;8.43;11.54
Sachmet besänftigen;7;294;;383,200,401,229;Chassinat/7_294.jpg;270;371;39.19;58.97;8.43;11.54
Feld darreichen;7;246;;404,200,422,229;Chassinat/7_246.jpg;270;371;39.19;32.05;8.43;11.54
;7;329;;362,232,380,250;Chassinat/7_329.jpg;270;371;54.59;85.9;5.23;11.54
Wenescheb darbringen;7;293;;382,232,401,250;Chassinat/7_293.jpg;270;371;54.59;59.62;5.23;12.18
Gerste und Emmer darbringen;7;242;;404,232,422,250;Chassinat/7_242.jpg;270;371;54.59;32.05;5.23;11.54
;7;328;;362,253,380,279;Chassinat/7_328.jpg;270;371;69.11;85.9;7.55;11.54
Abebet-Harpune darreichen;7;292;;383,253,401,279;Chassinat/7_292.jpg;270;371;69.11;58.97;7.55;11.54
Gerste und Emmer darbringen;7;242;;404,253,422,279;Chassinat/7_242.jpg;270;371;69.11;32.05;7.55;11.54
;7;328;;362,282,380,301;Chassinat/7_328.jpg;270;371;83.93;85.9;5.52;11.54
Weihräuchern;7;291;;383,282,401,301;Chassinat/7_291.jpg;270;371;83.93;58.97;5.52;11.54
;7;239;;404,282,422,301;Chassinat/7_239.jpg;270;371;83.93;32.05;5.52;11.54
;7;328;;362,304,380,332;Chassinat/7_328.jpg;270;371;99.33;85.9;8.14;11.54
Maat darbringen;7;290;;383,304,401,332;Chassinat/7_290.jpg;270;371;99.33;58.97;8.14;11.54
;7;239;;404,304,422,332;Chassinat/7_239.jpg;270;371;99.33;32.05;8.14;11.54
;7;328;;362,335,380,363;Chassinat/7_328.jpg;270;371;117.35;85.9;8.14;11.54
Opfergaben herbeitragen;7;289;;383,335,401,363;Chassinat/7_289.jpg;270;371;117.35;58.97;8.14;11.54
Weingarten und Wein darreichen;7;234;;404,335,422,363;Chassinat/7_234.jpg;270;371;117.35;32.05;8.14;11.54
;7;327;;362,366,380,384;Chassinat/7_327.jpg;270;371;132.46;85.9;5.23;11.54
Brot und Bier darbringen;7;288;;383,366,401,384;Chassinat/7_288.jpg;270;371;132.46;58.97;5.23;11.54
Weingarten und Wein darreichen;7;234;;404,366,422,384;Chassinat/7_234.jpg;270;371;132.46;32.05;5.23;11.54
Ober- und Unterägypten darbringen;7;326;;362,387,380,405;Chassinat/7_326.jpg;270;371;144.66;85.9;5.23;11.54
Wein darbringen;7;287;;383,387,401,405;Chassinat/7_287.jpg;270;371;144.66;58.97;5.23;11.54
Ober- und Unterägypten darreichen;7;230;;404,387,422,405;Chassinat/7_230.jpg;270;371;144.66;32.05;5.23;11.54
Mundöffnungszeremonie durchführen;7;325;;362,408,380,435;Chassinat/7_325.jpg;270;371;159.48;85.9;7.85;11.54
Anch-Djed-Was darreichen;7;286;;383,408,401,435;Chassinat/7_286.jpg;270;371;159.48;58.97;7.85;11.54
Ober- und Unterägypten darreichen;7;230;;404,408,422,435;Chassinat/7_230.jpg;270;371;159.48;32.05;7.85;11.54
Myrrhe räuchern;7;324;;362,438,380,464;Chassinat/7_324.jpg;270;371;176.63;85.9;7.55;11.54
Papyruspflanzen und Gänse herbeibringen;7;285;;383,438,401,464;Chassinat/7_285.jpg;270;371;176.63;58.97;7.55;11.54
Milch darbringen;7;226;;404,438,422,464;Chassinat/7_226.jpg;270;371;176.63;32.05;7.55;11.54
Oryx-Antilope töten;7;323;;362,467,380,485;Chassinat/7_323.jpg;270;371;191.16;85.9;5.23;11.54
Milch darbringen;7;284;;383,467,401,485;Chassinat/7_284.jpg;270;371;191.16;58.97;5.23;11.54
Milch darbringen;7;226;;404,467,422,485;Chassinat/7_226.jpg;270;371;191.16;32.05;5.23;11.54
Kleinvieh der Wüste herantreiben;7;322;;362,488,380,504;Chassinat/7_322.jpg;270;371;202.78;85.9;4.65;11.54
Heru-a-Getränk darbringen;7;283;;383,488,401,504;Chassinat/7_283.jpg;270;371;202.78;58.97;4.65;11.54
Rinder herbeiführen;7;220;;404,488,422,504;Chassinat/7_220.jpg;270;371;202.78;32.05;4.65;11.54
Maat darreichen;7;322;;362,507,380,535;Chassinat/7_322.jpg;270;371;217.31;85.9;8.14;11.54
Die beiden Uräusschlangen darbringen;7;282;;383,507,401,535;Chassinat/7_282.jpg;270;371;217.31;58.97;8.14;11.54
Rinder herbeiführen;7;220;;404,507,422,535;Chassinat/7_220.jpg;270;371;217.31;32.05;8.14;11.54
Lotusblüte darreihen;7;321;;362,538,380,556;Chassinat/7_321.jpg;270;371;232.42;85.9;5.23;11.54
Weihräuchern und Libieren;7;282;;383,538,401,556;Chassinat/7_282.jpg;270;371;232.42;58.97;5.23;11.54
Feld darreichen;7;215;;404,538,422,556;Chassinat/7_215.jpg;270;371;232.42;32.05;5.23;11.54
Menit darbringen;7;320;;362,559,380,577;Chassinat/7_320.jpg;270;371;244.62;85.9;5.23;11.54
Bier darbringen;7;281;;383,559,401,578;Chassinat/7_281.jpg;270;371;244.91;58.97;5.52;11.54
Feld darreichen;7;215;;404,559,422,582;Chassinat/7_215.jpg;270;371;246.07;32.05;6.68;11.54
;7;319;;362,580,380,619;Chassinat/7_319.jpg;270;371;262.93;85.9;11.33;11.54
;7;279;;383,580,394,619;Chassinat/7_279.jpg;270;371;262.93;63.46;11.33;7.05
Stoffstreifen darbringen;7;318;;362,622,380,660;Chassinat/7_318.jpg;270;371;287.05;85.9;11.04;11.54
Wein darbringen;7;278;;383,621,401,660;Chassinat/7_278.jpg;270;371;286.75;58.97;11.33;11.54
Speiseopfer herbeitragen;7;214;;404,617,422,660;Chassinat/7_214.jpg;270;371;285.59;32.05;12.49;11.54
Myrrhe darbringen;7;317;;362,663,381,690;Chassinat/7_317.jpg;270;371;307.68;85.26;7.85;12.18
Grüne und schwarze Augenschminke darbringen;7;277;;383,663,401,690;Chassinat/7_277.jpg;270;371;307.68;58.97;7.85;11.54
Ausgewählte Fleischstücke weihen;7;213;;404,663,422,690;Chassinat/7_213.jpg;270;371;307.68;32.05;7.85;11.54
Opferrind töten;7;316;;362,693,380,721;Chassinat/7_316.jpg;270;371;325.4;85.9;8.14;11.54
Heh darbringen;7;276;;383,693,401,721;Chassinat/7_276.jpg;270;371;325.4;58.97;8.14;11.54
Wein darbringen;7;211;;404,693,422,721;Chassinat/7_211.jpg;270;371;325.4;32.05;8.14;11.54
;7;315;;362,724,380,752;Chassinat/7_315.jpg;270;371;343.42;85.9;8.14;11.54
Kranz der Rechtfertigung darbringen;7;275;;383,724,401,752;Chassinat/7_275.jpg;270;371;343.42;58.97;8.14;11.54
Myrrhe darreichen;7;210;;404,724,422,752;Chassinat/7_210.jpg;270;371;343.42;32.05;8.14;11.54
Weihräuchern und Libieren;7;314;;362,755,380,784;Chassinat/7_314.jpg;270;371;361.72;85.9;8.43;11.54
Seth töten;7;274;;383,755,401,784;Chassinat/7_274.jpg;270;371;361.72;58.97;8.43;11.54
Frische Pflanzen darbringen;7;209;;404,755,422,784;Chassinat/7_209.jpg;270;371;361.72;32.05;8.43;11.54
;7;313;;362,787,380,815;Chassinat/7_313.jpg;270;371;380.03;85.9;8.14;11.54
Manchet-Troddel darbringen;7;273;;383,787,401,815;Chassinat/7_273.jpg;270;371;380.03;58.97;8.14;11.54
Gottesopfer reinigen;7;208;;404,787,422,815;Chassinat/7_208.jpg;270;371;380.03;32.05;8.14;11.54
Amulett umbinden;7;312;;362,818,380,836;Chassinat/7_312.jpg;270;371;395.14;85.9;5.23;11.54
Asiaten töten;7;272;;383,817,401,836;Chassinat/7_272.jpg;270;371;394.85;58.97;5.52;11.54
Hetep-di-nesut-Opfer vollziehen;7;207;174;404,818,422,836;Chassinat/7_207.jpg;270;371;395.14;32.05;5.23;11.54
Schildkröte töten;7;311;;362,839,380,869;Chassinat/7_311.jpg;270;371;410.83;85.9;8.72;11.54
Maat darbringen;7;271;;383,839,401,869;Chassinat/7_271.jpg;270;371;410.83;58.97;8.72;11.54
Großes Speiseopfer darbringen;7;206;;404,839,422,869;Chassinat/7_206.jpg;270;371;410.83;32.05;8.72;11.54
Udjat-Auge darreichen;7;311;;362,872,380,891;Chassinat/7_311.jpg;270;371;426.81;85.9;5.52;11.54
Weihrauch darbringen;7;270;;383,872,401,892;Chassinat/7_270.jpg;270;371;427.1;58.97;5.81;11.54
Wasserspende geben;7;205;;404,872,422,894;Chassinat/7_205.jpg;270;371;427.68;32.05;6.39;11.54
Schlachtrind töten;7;309;;362,894,380,925;Chassinat/7_309.jpg;270;371;443.08;85.9;9.01;11.54
Den Gott preisen;7;268;;383,894,395,925;Chassinat/7_268.jpg;270;371;443.08;62.82;9.01;7.69
Kranz der Rechtfertigung darreichen;7;308;;362,928,380,956;Chassinat/7_308.jpg;270;371;461.97;85.9;8.14;11.54
Wein darbringen;7;267;;383,927,401,956;Chassinat/7_267.jpg;270;371;461.68;58.97;8.43;11.54
Weihräuchern;7;203;;404,923,422,956;Chassinat/7_203.jpg;270;371;460.52;32.05;9.59;11.54
Den Nehes (Seth) erstechen;7;308;;362,959,380,978;Chassinat/7_308.jpg;270;371;477.37;85.9;5.52;11.54
Die beiden Udjat-Augen darbringen;7;266;;383,959,401,978;Chassinat/7_266.jpg;270;371;477.37;58.97;5.52;11.54
Mit dem Nemeset-Krug huldigen;7;202;;404,959,422,978;Chassinat/7_202.jpg;270;371;477.37;32.05;5.52;11.54
Sistrum erklingen lassen;7;307;;362,981,380,999;Chassinat/7_307.jpg;270;371;489.87;85.9;5.23;11.54
Menit darbringen;7;265;;383,981,401,999;Chassinat/7_265.jpg;270;371;489.87;58.97;5.23;11.54
Harpune darbringen;7;201;;404,981,422,999;Chassinat/7_201.jpg;270;371;489.87;32.05;5.23;11.54
Stoff darbringen;7;306;;362,1002,380,1032;Chassinat/7_306.jpg;270;371;505.56;85.9;8.72;11.54
Speiseopfer herbeitragen;7;264;;383,1002,401,1032;Chassinat/7_264.jpg;270;371;505.56;58.97;8.72;11.54
Apophis töten;7;200;;404,1002,422,1032;Chassinat/7_200.jpg;270;371;505.56;32.05;8.72;11.54
Sechem- und Sescheschet-Sistrum spielen;7;305;;362,1035,380,1053;Chassinat/7_305.jpg;270;371;521.25;85.9;5.23;11.54
Oryx-Antilope töten;7;263;;383,1035,401,1053;Chassinat/7_263.jpg;270;371;521.25;58.97;5.23;11.54
Heru-a-Getränk darbringen;7;199;172;403,1035,421,1053;Chassinat/7_199.jpg;270;371;521.25;33.33;5.23;11.54
Doppelkrone aufsetzen;7;304;;362,1056,380,1076;Chassinat/7_304.jpg;270;371;534.03;85.9;5.81;11.54
Feinde töten;7;262;;383,1056,401,1076;Chassinat/7_262.jpg;270;371;534.03;58.97;5.81;11.54
Heh darreichen;7;198;;404,1056,422,1076;Chassinat/7_198.jpg;270;371;534.03;32.05;5.81;11.54
Klettergerüst aufstellen;7;304;;362,1079,380,1099;Chassinat/7_304.jpg;270;371;547.4;85.9;5.81;11.54
Schlachtrind töten;7;261;;383,1079,401,1099;Chassinat/7_261.jpg;270;371;547.4;58.97;5.81;11.54
Mekes-Zepter darbringen;7;197;;404,1079,422,1099;Chassinat/7_197.jpg;270;371;547.4;32.05;5.81;11.54
???;7;303;;362,1102,380,1132;Chassinat/7_303.jpg;270;371;563.67;85.9;8.72;11.54
Stoff darbringen;7;260;;383,1102,401,1132;Chassinat/7_260.jpg;270;371;563.67;58.97;8.72;11.54
Die beiden Uräusschlangen darbringen;7;196;;404,1102,422,1132;Chassinat/7_196.jpg;270;371;563.67;32.05;8.72;11.54
Kleiderkästen herbeiziehen;7;302;;362,1135,380,1155;Chassinat/7_302.jpg;270;371;579.94;85.9;5.81;11.54
???;7;159;;383,1135,401,1155;Chassinat/7_159.jpg;270;371;579.94;58.97;5.81;11.54
Maat darreichen;7;194;;404,1135,422,1155;Chassinat/7_194.jpg;270;371;579.94;32.05;5.81;11.54
Amulett des Käfers, Der-das-Werden-liebt, darbringen;7;301;;362,1158,380,1179;Chassinat/7_301.jpg;270;371;593.6;85.9;6.1;11.54
Papyrus darbringen;7;158;;383,1158,401,1179;Chassinat/7_158.jpg;270;371;593.6;58.97;6.1;11.54
Den Gott preisen, viermal;7;193;;404,1158,422,1179;Chassinat/7_193.jpg;270;371;593.6;32.05;6.1;11.54
Feuerbecken aufstellen;7;301;;362,1182,380,1201;Chassinat/7_301.jpg;270;371;606.97;85.9;5.52;11.54
Weihräuchern;7;157;;383,1182,401,1212;Chassinat/7_157.jpg;270;371;610.16;58.97;8.72;11.54
Die Erde küssen;7;192;;404,1182,422,1212;Chassinat/7_192.jpg;270;371;610.16;32.05;8.72;11.54
Heh darbringen;7;300;;362,1204,380,1235;Chassinat/7_300.jpg;270;371;623.24;85.9;9.01;11.54
Den Thronsitz Edfu erbauen;7;299;;362,1238,380,1268;Chassinat/7_299.jpg;270;371;642.71;85.9;8.72;11.54
Den Gott preisen;7;298;;362,1270,380,1302;Chassinat/7_298.jpg;270;371;661.89;85.9;9.3;11.54
Wasserkrug darbringen;7;297;;362,1305,380,1335;Chassinat/7_297.jpg;270;371;681.64;85.9;8.72;11.54
Fest vollziehen;7;296;;362,1338,381,1368;Chassinat/7_296.jpg;270;371;700.82;85.26;8.72;12.18
Sänftenprozession;7;256;;383,1263,401,1335;Chassinat/7_256.jpg;270;371;669.44;58.97;20.92;11.54
Den Gott sehen;7;255;;383,1338,401,1368;Chassinat/7_255.jpg;270;371;700.82;58.97;8.72;11.54
König vorführen;7;192;;404,1263,422,1297;Chassinat/7_192.jpg;270;371;658.4;32.05;9.88;11.54
Den König krönen;7;191;;404,1300,422,1317;Chassinat/7_191.jpg;270;371;674.96;32.05;4.94;11.54
Reinigung des Königs;7;191;;404,1320,422,1342;Chassinat/7_191.jpg;270;371;688.04;32.05;6.39;11.54
Herausgehen aus dem Palast (Iunmutef weihräuchert);7;189;;404,1345,422,1368;Chassinat/7_189.jpg;270;371;702.86;32.05;6.68;11.54
Zwickel;7;331;;46,1373,119,1383;Chassinat/7_331.jpg;90;114;715.35;51.88;2.91;45.63
Zwickel;7;331;;361,1373,436,1383;Chassinat/7_331.jpg;270;371;715.35;50.64;2.91;48.08